fiscal_year,fund,department,class_id,class,total
2019,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,300,"Materials, Supplies & Equipment",250000
2019,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,800,Payments to Other Funds,84707
2019,Grants Revenue Fund,Parks and Recreation,100,Personal Services,3337979
2019,Grants Revenue Fund,Parks and Recreation,100,Personal Services,592471
2019,Grants Revenue Fund,Parks and Recreation,200,Purchase of Services,1937709
2019,Grants Revenue Fund,Parks and Recreation,300,"Materials, Supplies & Equipment",7346383
2019,Grants Revenue Fund,Human Services,100,Personal Services,81613995
2019,Grants Revenue Fund,Human Services,100,Personal Services,38485241
2019,Grants Revenue Fund,Human Services,200,Purchase of Services,484484329
2019,Grants Revenue Fund,Human Services,300,"Materials, Supplies & Equipment",3929155
2019,Grants Revenue Fund,Human Services,100,Personal Services,1805966
2019,Grants Revenue Fund,Human Services,200,Purchase of Services,41873415
2019,Grants Revenue Fund,Human Services,300,"Materials, Supplies & Equipment",1021376
2019,Grants Revenue Fund,Finance,900,Advances & Other Misc Payments,250000678
2019,Grants Revenue Fund,Procurement,200,Purchase of Services,3000
2019,Grants Revenue Fund,Commerce,200,Purchase of Services,10000000
2019,Grants Revenue Fund,Law,200,Purchase of Services,200000
2019,Grants Revenue Fund,Office of Sustainability,100,Personal Services,50000
2019,Grants Revenue Fund,Office of Sustainability,200,Purchase of Services,168673
2019,Grants Revenue Fund,Free Library,100,Personal Services,1144106
2019,Grants Revenue Fund,Free Library,100,Personal Services,128255
2019,Grants Revenue Fund,Free Library,200,Purchase of Services,4040285
2019,Grants Revenue Fund,Free Library,300,"Materials, Supplies & Equipment",3301157
2019,Grants Revenue Fund,Auditing,200,Purchase of Services,200000
2019,Grants Revenue Fund,Register of Wills,300,"Materials, Supplies & Equipment",200000
2019,Grants Revenue Fund,District Attorney,100,Personal Services,9504069
2019,Grants Revenue Fund,District Attorney,100,Personal Services,645000
2019,Grants Revenue Fund,District Attorney,200,Purchase of Services,4421800
2019,Grants Revenue Fund,District Attorney,300,"Materials, Supplies & Equipment",2281160
2019,Grants Revenue Fund,Mayor - Planning and Development,100,Personal Services,90000
2019,Grants Revenue Fund,Mayor - Planning and Development,200,Purchase of Services,56168222
2019,Grants Revenue Fund,City Commissioners,100,Personal Services,125000
2019,Grants Revenue Fund,City Commissioners,200,Purchase of Services,600000
2019,Grants Revenue Fund,City Commissioners,300,"Materials, Supplies & Equipment",200000
2019,Grants Revenue Fund,First Judicial District,100,Personal Services,28700216
2019,Grants Revenue Fund,First Judicial District,100,Personal Services,14703283
2019,Grants Revenue Fund,First Judicial District,200,Purchase of Services,6334462
2019,Grants Revenue Fund,First Judicial District,300,"Materials, Supplies & Equipment",2388110
2019,Aviation Fund,Office of Innovation and Technology,100,Personal Services,940000
2019,Aviation Fund,Office of Innovation and Technology,200,Purchase of Services,1223089
2019,Aviation Fund,Fleet Management,100,Personal Services,1514839
2019,Aviation Fund,Fleet Management,200,Purchase of Services,588000
2019,Aviation Fund,Fleet Management,300,"Materials, Supplies & Equipment",1493000
2019,Aviation Fund,Fleet Management,300,"Materials, Supplies & Equipment",4800000
2019,Aviation Fund,Police,200,Purchase of Services,77500
2019,Aviation Fund,Police,300,"Materials, Supplies & Equipment",93000
2019,Aviation Fund,Fire,100,Personal Services,7608574
2019,Aviation Fund,Fire,200,Purchase of Services,15000
2019,Aviation Fund,Fire,300,"Materials, Supplies & Equipment",155900
2019,Aviation Fund,Fire,800,Payments to Other Funds,23000
2019,Aviation Fund,Public Property,200,Purchase of Services,26900000
2019,Aviation Fund,Finance,200,Purchase of Services,4146000
2019,Aviation Fund,Finance - Employee Benefits,100,Personal Services,63950249
2019,Aviation Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refunds, Taxes",2512000
2019,Aviation Fund,Sinking Fund Commission (Debt Service),700,Debt Service,163801936
2019,Aviation Fund,Commerce,100,Personal Services,51000000
2019,Aviation Fund,Commerce,200,Purchase of Services,107000000
2019,Aviation Fund,Commerce,300,"Materials, Supplies & Equipment",11500000
2019,Aviation Fund,Commerce,500,"Contributions, Indemnities, Refunds, Taxes",6300000
2019,Aviation Fund,Commerce,800,Payments to Other Funds,24000000
2019,Aviation Fund,Law,100,Personal Services,1563803
2019,Aviation Fund,Office of Sustainability,100,Personal Services,63873
2019,Aviation Fund,Office of Sustainability,200,Purchase of Services,30000
2019,Community Development Fund,Mayor - Planning and Development,100,Personal Services,4708736
2019,Community Development Fund,Mayor - Planning and Development,200,Purchase of Services,56675441
2019,Community Development Fund,Mayor - Planning and Development,300,"Materials, Supplies & Equipment",256000
2019,Community Development Fund,Mayor - Planning and Development,800,Payments to Other Funds,25000
2019,Community Development Fund,Licenses and Inspections,100,Personal Services,514818
2019,Community Development Fund,Finance - Employee Benefits,100,Personal Services,4152814
2019,Community Development Fund,Finance,900,Advances & Other Misc Payments,20000000
2019,Community Development Fund,Commerce,100,Personal Services,969818
2019,Community Development Fund,Commerce,200,Purchase of Services,8479800
2019,Community Development Fund,Commerce,300,"Materials, Supplies & Equipment",3000
2019,Community Development Fund,Law,100,Personal Services,195573
2019,Car Rental Tax Fund,Sinking Fund Commission (Debt Service),200,Purchase of Services,7000000
2019,Municipal Pension Fund,Board of Pensions,100,Personal Services,4195000
2019,Municipal Pension Fund,Board of Pensions,100,Personal Services,3918000
2019,Municipal Pension Fund,Board of Pensions,200,Purchase of Services,2194000
2019,Municipal Pension Fund,Board of Pensions,300,"Materials, Supplies & Equipment",165000
2019,Municipal Pension Fund,Board of Pensions,800,Payments to Other Funds,90000
2019,Housing Trust Fund,Mayor - Planning and Development,100,Personal Services,1250000
2019,Housing Trust Fund,Mayor - Planning and Development,200,Purchase of Services,38750000
2019,Acute Care Hospital Fund,Public Health,100,Personal Services,5393408
2019,Acute Care Hospital Fund,Public Health,200,Purchase of Services,5980000
2019,Acute Care Hospital Fund,Public Health,300,"Materials, Supplies & Equipment",1339000
2019,Acute Care Hospital Fund,Public Health,800,Payments to Other Funds,500000
2019,Acute Care Hospital Fund,Public Health,200,Purchase of Services,149000000
2019,Acute Care Hospital Fund,Finance,100,Personal Services,75000
2019,Acute Care Hospital Fund,Finance - Employee Benefits,100,Personal Services,267592
2019,Acute Care Hospital Fund,Revenue,100,Personal Services,30000
2019,Acute Care Hospital Fund,Revenue,300,"Materials, Supplies & Equipment",15000
