minor_class_id,class_id,fiscal_year,total,minor_class,class,department,fund
320,3,2016,1000,Office Materials and Supplies,Materials and Supplies,Mayor's Office-labor Relations,General Operating Fund
420,4,2016,1600,Office Equipment,Equipment,Mayor's Office-labor Relations,General Operating Fund
100,1,2016,154453,Salary Control,Personal Services,Office of Innovation & Technology,General Operating Fund
101,1,2016,18580449,Perm Full Time-civilian,Personal Services,Office of Innovation & Technology,General Operating Fund
109,1,2016,153725,Plus/minus Gross Adj,Personal Services,Office of Innovation & Technology,General Operating Fund
111,1,2016,104872,Perm Part Time,Personal Services,Office of Innovation & Technology,General Operating Fund
121,1,2016,214153,Temporary Seasonal,Personal Services,Office of Innovation & Technology,General Operating Fund
161,1,2016,623185,Overtime Civilian,Personal Services,Office of Innovation & Technology,General Operating Fund
171,1,2016,56744,"Holiday ""g""(2/3 Shifts)",Personal Services,Office of Innovation & Technology,General Operating Fund
209,2,2016,12387511,Telephone,Purchase of Services,Office of Innovation & Technology,General Operating Fund
210,2,2016,3000,Postage,Purchase of Services,Office of Innovation & Technology,General Operating Fund
211,2,2016,10950,Transportation,Purchase of Services,Office of Innovation & Technology,General Operating Fund
216,2,2016,3799054,Commercial Off-shelf Comp Software,Purchase of Services,Office of Innovation & Technology,General Operating Fund
220,2,2016,210500,Electric Current-structures/streets,Purchase of Services,Office of Innovation & Technology,General Operating Fund
250,2,2016,34137,Professional Consult/spec Services,Purchase of Services,Office of Innovation & Technology,General Operating Fund
251,2,2016,26474941,Information Technology-prof Service,Purchase of Services,Office of Innovation & Technology,General Operating Fund
255,2,2016,25269,Dues,Purchase of Services,Office of Innovation & Technology,General Operating Fund
256,2,2016,62852,Seminar and Training Sessions,Purchase of Services,Office of Innovation & Technology,General Operating Fund
260,2,2016,4556900,Repair and Maintenance Charges,Purchase of Services,Office of Innovation & Technology,General Operating Fund
266,2,2016,5944330,Maint/support-computr Hardware/soft,Purchase of Services,Office of Innovation & Technology,General Operating Fund
282,2,2016,26582,Rent/lease-purchase Computer Equip,Purchase of Services,Office of Innovation & Technology,General Operating Fund
285,2,2016,843943,Rents,Purchase of Services,Office of Innovation & Technology,General Operating Fund
299,2,2016,3461,Other Expenses (not Othrwse Clssfd),Purchase of Services,Office of Innovation & Technology,General Operating Fund
304,3,2016,4442,Books and Other Publications,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
310,3,2016,838046,Electrical and Communication,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
311,3,2016,60,General Equipment and Machinery,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
312,3,2016,19200,Fire Fighting and Safety,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
320,3,2016,55006,Office Materials and Supplies,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
324,3,2016,36323,"Precision, Photographic and Artists",Materials and Supplies,Office of Innovation & Technology,General Operating Fund
325,3,2016,885,Printing,Materials and Supplies,Office of Innovation & Technology,General Operating Fund
399,3,2016,4118,Other Materials and Supplies (noc),Materials and Supplies,Office of Innovation & Technology,General Operating Fund
410,4,2016,510005,Electrical Lighting Communication,Equipment,Office of Innovation & Technology,General Operating Fund
420,4,2016,743,Office Equipment,Equipment,Office of Innovation & Technology,General Operating Fund
423,4,2016,85000,Plumbing/air Conditioning/space Htg,Equipment,Office of Innovation & Technology,General Operating Fund
427,4,2016,6627909,Computer Equipment & Peripherals,Equipment,Office of Innovation & Technology,General Operating Fund
430,4,2016,1416614,Furniture and Furnishings,Equipment,Office of Innovation & Technology,General Operating Fund
100,1,2016,296572,Salary Control,Personal Services,Mayor's Office,General Operating Fund
101,1,2016,3644552,Perm Full Time-civilian,Personal Services,Mayor's Office,General Operating Fund
210,2,2016,1194,Postage,Purchase of Services,Mayor's Office,General Operating Fund
211,2,2016,25435,Transportation,Purchase of Services,Mayor's Office,General Operating Fund
230,2,2016,3442,Meals-non-travel & Officl Entertain,Purchase of Services,Mayor's Office,General Operating Fund
250,2,2016,876290,Professional Consult/spec Services,Purchase of Services,Mayor's Office,General Operating Fund
255,2,2016,87475,Dues,Purchase of Services,Mayor's Office,General Operating Fund
256,2,2016,3500,Seminar and Training Sessions,Purchase of Services,Mayor's Office,General Operating Fund
260,2,2016,20000,Repair and Maintenance Charges,Purchase of Services,Mayor's Office,General Operating Fund
266,2,2016,23000,Maint/support-computr Hardware/soft,Purchase of Services,Mayor's Office,General Operating Fund
304,3,2016,3262,Books and Other Publications,Materials and Supplies,Mayor's Office,General Operating Fund
320,3,2016,27528,Office Materials and Supplies,Materials and Supplies,Mayor's Office,General Operating Fund
324,3,2016,1000,"Precision, Photographic and Artists",Materials and Supplies,Mayor's Office,General Operating Fund
325,3,2016,15984,Printing,Materials and Supplies,Mayor's Office,General Operating Fund
504,5,2016,200000,Meritorious Awards,"Contributions, Indemnities, Refunds, Taxes",Mayor's Office,General Operating Fund
250,2,2016,3590000,Professional Consult/spec Services,Purchase of Services,Office of Housing,General Operating Fund
250,2,2016,605000,Professional Consult/spec Services,Purchase of Services,Mayor's Office-community Services,General Operating Fund
101,1,2016,16061186,Perm Full Time-civilian,Personal Services,Managing Director,General Operating Fund
121,1,2016,354633,Temporary Seasonal,Personal Services,Managing Director,General Operating Fund
161,1,2016,397676,Overtime Civilian,Personal Services,Managing Director,General Operating Fund
171,1,2016,4000,"Holiday ""g""(2/3 Shifts)",Personal Services,Managing Director,General Operating Fund
181,1,2016,1798,Shift,Personal Services,Managing Director,General Operating Fund
209,2,2016,13540,Telephone,Purchase of Services,Managing Director,General Operating Fund
210,2,2016,10612,Postage,Purchase of Services,Managing Director,General Operating Fund
211,2,2016,116443,Transportation,Purchase of Services,Managing Director,General Operating Fund
210,2,2016,2418,Postage,Purchase of Services,Fire,General Operating Fund
216,2,2016,162783,Commercial Off-shelf Comp Software,Purchase of Services,Managing Director,General Operating Fund
250,2,2016,8460841,Professional Consult/spec Services,Purchase of Services,Managing Director,General Operating Fund
251,2,2016,48900,Information Technology-prof Service,Purchase of Services,Managing Director,General Operating Fund
253,2,2016,51999131,Legal Services,Purchase of Services,Managing Director,General Operating Fund
255,2,2016,2425,Dues,Purchase of Services,Managing Director,General Operating Fund
256,2,2016,1000,Seminar and Training Sessions,Purchase of Services,Managing Director,General Operating Fund
260,2,2016,127291,Repair and Maintenance Charges,Purchase of Services,Managing Director,General Operating Fund
266,2,2016,17816,Maint/support-computr Hardware/soft,Purchase of Services,Managing Director,General Operating Fund
285,2,2016,155293,Rents,Purchase of Services,Managing Director,General Operating Fund
299,2,2016,229027,Other Expenses (not Othrwse Clssfd),Purchase of Services,Managing Director,General Operating Fund
305,3,2016,148130,Building and Construction,Materials and Supplies,Managing Director,General Operating Fund
308,3,2016,9067,Dry Goods/notions/wearing Apparel,Materials and Supplies,Managing Director,General Operating Fund
310,3,2016,4722,Electrical and Communication,Materials and Supplies,Managing Director,General Operating Fund
311,3,2016,14907,General Equipment and Machinery,Materials and Supplies,Managing Director,General Operating Fund
335,3,2016,196,Lubricants,Materials and Supplies,Police,General Operating Fund
318,3,2016,118175,"Janitorial, Laundry and Household",Materials and Supplies,Managing Director,General Operating Fund
320,3,2016,87222,Office Materials and Supplies,Materials and Supplies,Managing Director,General Operating Fund
324,3,2016,1134,"Precision, Photographic and Artists",Materials and Supplies,Managing Director,General Operating Fund
325,3,2016,3848,Printing,Materials and Supplies,Managing Director,General Operating Fund
328,3,2016,725,Motor Vehicle Parts and Accessories,Materials and Supplies,Managing Director,General Operating Fund
399,3,2016,70025,Other Materials and Supplies (noc),Materials and Supplies,Managing Director,General Operating Fund
420,4,2016,28918,Office Equipment,Equipment,Managing Director,General Operating Fund
427,4,2016,18899,Computer Equipment & Peripherals,Equipment,Managing Director,General Operating Fund
430,4,2016,24090,Furniture and Furnishings,Equipment,Managing Director,General Operating Fund
499,4,2016,60417,Other Equipment (noc),Equipment,Managing Director,General Operating Fund
100,1,2016,8484065,Salary Control,Personal Services,Police,General Operating Fund
101,1,2016,36810685,Perm Full Time-civilian,Personal Services,Police,General Operating Fund
105,1,2016,444310438,Perm Full Time-uniform,Personal Services,Police,General Operating Fund
110,1,2016,33083214,Uniform Stress Pay,Personal Services,Police,General Operating Fund
141,1,2016,11823049,School Crossing Guards,Personal Services,Police,General Operating Fund
152,1,2016,17816000,Uniform Iod Pay (heart & Lung),Personal Services,Police,General Operating Fund
161,1,2016,1637300,Overtime Civilian,Personal Services,Police,General Operating Fund
165,1,2016,47541608,Overtime Shift Uniform,Personal Services,Police,General Operating Fund
171,1,2016,17464432,"Holiday ""g""(2/3 Shifts)",Personal Services,Police,General Operating Fund
175,1,2016,3107684,Holiday Pay-annual,Personal Services,Police,General Operating Fund
181,1,2016,247703,Shift,Personal Services,Police,General Operating Fund
201,2,2016,3000000,Cleaning and Laundering,Purchase of Services,Police,General Operating Fund
202,2,2016,7800,Janitorial Services,Purchase of Services,Police,General Operating Fund
205,2,2016,71266,Refuse/garbage/silt/sludge Removal,Purchase of Services,Police,General Operating Fund
209,2,2016,4918,Telephone,Purchase of Services,Police,General Operating Fund
210,2,2016,112000,Postage,Purchase of Services,Police,General Operating Fund
211,2,2016,124000,Transportation,Purchase of Services,Police,General Operating Fund
212,2,2016,82000,Return of Fugitives,Purchase of Services,Police,General Operating Fund
216,2,2016,26000,Commercial Off-shelf Comp Software,Purchase of Services,Police,General Operating Fund
231,2,2016,338308,Overtime Meals,Purchase of Services,Police,General Operating Fund
240,2,2016,5000,Advertising/promotional Activities,Purchase of Services,Police,General Operating Fund
250,2,2016,2128147,Professional Consult/spec Services,Purchase of Services,Police,General Operating Fund
251,2,2016,97594,Information Technology-prof Service,Purchase of Services,Police,General Operating Fund
255,2,2016,5100,Dues,Purchase of Services,Police,General Operating Fund
256,2,2016,288000,Seminar and Training Sessions,Purchase of Services,Police,General Operating Fund
260,2,2016,809938,Repair and Maintenance Charges,Purchase of Services,Police,General Operating Fund
266,2,2016,8200,Maint/support-computr Hardware/soft,Purchase of Services,Police,General Operating Fund
285,2,2016,153736,Rents,Purchase of Services,Police,General Operating Fund
295,2,2016,800,Purchase Services-imprest Advances,Purchase of Services,Police,General Operating Fund
302,3,2016,175000,"Animal, Livestock and Marine Life",Materials and Supplies,Police,General Operating Fund
304,3,2016,54275,Books and Other Publications,Materials and Supplies,Police,General Operating Fund
305,3,2016,43544,Building and Construction,Materials and Supplies,Police,General Operating Fund
307,3,2016,22323,Chemicals and Gases,Materials and Supplies,Police,General Operating Fund
308,3,2016,5612534,Dry Goods/notions/wearing Apparel,Materials and Supplies,Police,General Operating Fund
309,3,2016,6544,Cordage and Fibers,Materials and Supplies,Police,General Operating Fund
310,3,2016,52507,Electrical and Communication,Materials and Supplies,Police,General Operating Fund
311,3,2016,41800,General Equipment and Machinery,Materials and Supplies,Police,General Operating Fund
312,3,2016,2039356,Fire Fighting and Safety,Materials and Supplies,Police,General Operating Fund
316,3,2016,6000,General Hardware and Minor Tools,Materials and Supplies,Police,General Operating Fund
317,3,2016,832824,Hospital and Laboratory,Materials and Supplies,Police,General Operating Fund
318,3,2016,264123,"Janitorial, Laundry and Household",Materials and Supplies,Police,General Operating Fund
319,3,2016,352185,Nautical and Aeronautical,Materials and Supplies,Police,General Operating Fund
320,3,2016,516328,Office Materials and Supplies,Materials and Supplies,Police,General Operating Fund
322,3,2016,3615,Small Power Tools and Hand Tools,Materials and Supplies,Police,General Operating Fund
324,3,2016,1043793,"Precision, Photographic and Artists",Materials and Supplies,Police,General Operating Fund
325,3,2016,159970,Printing,Materials and Supplies,Police,General Operating Fund
328,3,2016,30892,Motor Vehicle Parts and Accessories,Materials and Supplies,Police,General Operating Fund
342,3,2016,5048,Liquid Propane Gas (lpg),Materials and Supplies,Police,General Operating Fund
345,3,2016,135000,Gasoline,Materials and Supplies,Police,General Operating Fund
410,4,2016,4355,Electrical Lighting Communication,Equipment,Police,General Operating Fund
411,4,2016,520,General Equipment and Machinery,Equipment,Police,General Operating Fund
412,4,2016,1069018,Fire Fighting and Emergency,Equipment,Police,General Operating Fund
417,4,2016,2760,Hospital and Laboratory,Equipment,Police,General Operating Fund
420,4,2016,83392,Office Equipment,Equipment,Police,General Operating Fund
424,4,2016,501500,"Precision, Photographic and Artist",Equipment,Police,General Operating Fund
427,4,2016,50000,Computer Equipment & Peripherals,Equipment,Police,General Operating Fund
430,4,2016,110000,Furniture and Furnishings,Equipment,Police,General Operating Fund
499,4,2016,3000,Other Equipment (noc),Equipment,Police,General Operating Fund
100,1,2016,507350,Salary Control,Personal Services,Streets,General Operating Fund
101,1,2016,63691599,Perm Full Time-civilian,Personal Services,Streets,General Operating Fund
121,1,2016,281395,Temporary Seasonal,Personal Services,Streets,General Operating Fund
161,1,2016,7810759,Overtime Civilian,Personal Services,Streets,General Operating Fund
171,1,2016,175130,"Holiday ""g""(2/3 Shifts)",Personal Services,Streets,General Operating Fund
181,1,2016,257899,Shift,Personal Services,Streets,General Operating Fund
201,2,2016,6178,Cleaning and Laundering,Purchase of Services,Streets,General Operating Fund
205,2,2016,38039819,Refuse/garbage/silt/sludge Removal,Purchase of Services,Streets,General Operating Fund
209,2,2016,621,Telephone,Purchase of Services,Streets,General Operating Fund
210,2,2016,1000,Postage,Purchase of Services,Streets,General Operating Fund
211,2,2016,35439,Transportation,Purchase of Services,Streets,General Operating Fund
215,2,2016,1350,Licenses Permits Inspection Charges,Purchase of Services,Streets,General Operating Fund
240,2,2016,477891,Advertising/promotional Activities,Purchase of Services,Streets,General Operating Fund
250,2,2016,3957030,Professional Consult/spec Services,Purchase of Services,Streets,General Operating Fund
256,2,2016,44335,Seminar and Training Sessions,Purchase of Services,Streets,General Operating Fund
257,2,2016,20000,Architectural & Engineering Srvcs,Purchase of Services,Streets,General Operating Fund
260,2,2016,868798,Repair and Maintenance Charges,Purchase of Services,Streets,General Operating Fund
285,2,2016,5346493,Rents,Purchase of Services,Streets,General Operating Fund
299,2,2016,7991,Other Expenses (not Othrwse Clssfd),Purchase of Services,Streets,General Operating Fund
304,3,2016,19109,Books and Other Publications,Materials and Supplies,Streets,General Operating Fund
305,3,2016,1019273,Building and Construction,Materials and Supplies,Streets,General Operating Fund
307,3,2016,18334,Chemicals and Gases,Materials and Supplies,Streets,General Operating Fund
308,3,2016,192666,Dry Goods/notions/wearing Apparel,Materials and Supplies,Streets,General Operating Fund
309,3,2016,728,Cordage and Fibers,Materials and Supplies,Streets,General Operating Fund
310,3,2016,773316,Electrical and Communication,Materials and Supplies,Streets,General Operating Fund
311,3,2016,46686,General Equipment and Machinery,Materials and Supplies,Streets,General Operating Fund
312,3,2016,27154,Fire Fighting and Safety,Materials and Supplies,Streets,General Operating Fund
313,3,2016,200,Food,Materials and Supplies,Streets,General Operating Fund
314,3,2016,313625,Fuel -- Heating and Lighting,Materials and Supplies,Streets,General Operating Fund
316,3,2016,325448,General Hardware and Minor Tools,Materials and Supplies,Streets,General Operating Fund
317,3,2016,10520,Hospital and Laboratory,Materials and Supplies,Streets,General Operating Fund
318,3,2016,180682,"Janitorial, Laundry and Household",Materials and Supplies,Streets,General Operating Fund
320,3,2016,102764,Office Materials and Supplies,Materials and Supplies,Streets,General Operating Fund
322,3,2016,70426,Small Power Tools and Hand Tools,Materials and Supplies,Streets,General Operating Fund
323,3,2016,59315,Plumbing/air Conditioning/space Htg,Materials and Supplies,Streets,General Operating Fund
324,3,2016,85102,"Precision, Photographic and Artists",Materials and Supplies,Streets,General Operating Fund
325,3,2016,55379,Printing,Materials and Supplies,Streets,General Operating Fund
328,3,2016,16500,Motor Vehicle Parts and Accessories,Materials and Supplies,Streets,General Operating Fund
335,3,2016,269,Lubricants,Materials and Supplies,Streets,General Operating Fund
342,3,2016,13915,Liquid Propane Gas (lpg),Materials and Supplies,Streets,General Operating Fund
399,3,2016,38328,Other Materials and Supplies (noc),Materials and Supplies,Streets,General Operating Fund
285,2,2016,1141300,Rents,Purchase of Services,Water,Water Operating Fund
405,4,2016,2455,"Construction, Dredging, Conveying",Equipment,Streets,General Operating Fund
410,4,2016,23293,Electrical Lighting Communication,Equipment,Streets,General Operating Fund
411,4,2016,47140,General Equipment and Machinery,Equipment,Streets,General Operating Fund
420,4,2016,19393,Office Equipment,Equipment,Streets,General Operating Fund
423,4,2016,22294,Plumbing/air Conditioning/space Htg,Equipment,Streets,General Operating Fund
424,4,2016,68956,"Precision, Photographic and Artist",Equipment,Streets,General Operating Fund
427,4,2016,372,Computer Equipment & Peripherals,Equipment,Streets,General Operating Fund
428,4,2016,136000,Vehicles -- Motor and Motorless,Equipment,Streets,General Operating Fund
430,4,2016,52943,Furniture and Furnishings,Equipment,Streets,General Operating Fund
499,4,2016,67377,Other Equipment (noc),Equipment,Streets,General Operating Fund
504,5,2016,5000,Meritorious Awards,"Contributions, Indemnities, Refunds, Taxes",Streets,General Operating Fund
505,5,2016,48171,Contributions-ed & Non-prof Rec Org,"Contributions, Indemnities, Refunds, Taxes",Streets,General Operating Fund
100,1,2016,1098000,Salary Control,Personal Services,Fire,General Operating Fund
101,1,2016,5918875,Perm Full Time-civilian,Personal Services,Fire,General Operating Fund
105,1,2016,147422502,Perm Full Time-uniform,Personal Services,Fire,General Operating Fund
107,1,2016,8845500,Fire out of Class Prem(2hr Dif),Personal Services,Fire,General Operating Fund
131,1,2016,1000,Board,Personal Services,Fire,General Operating Fund
161,1,2016,266990,Overtime Civilian,Personal Services,Fire,General Operating Fund
165,1,2016,24686040,Overtime Shift Uniform,Personal Services,Fire,General Operating Fund
171,1,2016,64000,"Holiday ""g""(2/3 Shifts)",Personal Services,Fire,General Operating Fund
175,1,2016,8780000,Holiday Pay-annual,Personal Services,Fire,General Operating Fund
181,1,2016,244000,Shift,Personal Services,Fire,General Operating Fund
202,2,2016,3000,Janitorial Services,Purchase of Services,Fire,General Operating Fund
211,2,2016,38433,Transportation,Purchase of Services,Fire,General Operating Fund
250,2,2016,4388478,Professional Consult/spec Services,Purchase of Services,Fire,General Operating Fund
256,2,2016,27000,Seminar and Training Sessions,Purchase of Services,Fire,General Operating Fund
260,2,2016,813458,Repair and Maintenance Charges,Purchase of Services,Fire,General Operating Fund
285,2,2016,17004,Rents,Purchase of Services,Fire,General Operating Fund
299,2,2016,6802,Other Expenses (not Othrwse Clssfd),Purchase of Services,Fire,General Operating Fund
304,3,2016,99378,Books and Other Publications,Materials and Supplies,Fire,General Operating Fund
307,3,2016,100000,Chemicals and Gases,Materials and Supplies,Fire,General Operating Fund
308,3,2016,3860718,Dry Goods/notions/wearing Apparel,Materials and Supplies,Fire,General Operating Fund
310,3,2016,75389,Electrical and Communication,Materials and Supplies,Fire,General Operating Fund
312,3,2016,773581,Fire Fighting and Safety,Materials and Supplies,Fire,General Operating Fund
314,3,2016,74500,Fuel -- Heating and Lighting,Materials and Supplies,Fire,General Operating Fund
316,3,2016,20000,General Hardware and Minor Tools,Materials and Supplies,Fire,General Operating Fund
317,3,2016,1214000,Hospital and Laboratory,Materials and Supplies,Fire,General Operating Fund
318,3,2016,133000,"Janitorial, Laundry and Household",Materials and Supplies,Fire,General Operating Fund
320,3,2016,152678,Office Materials and Supplies,Materials and Supplies,Fire,General Operating Fund
322,3,2016,5520,Small Power Tools and Hand Tools,Materials and Supplies,Fire,General Operating Fund
324,3,2016,95328,"Precision, Photographic and Artists",Materials and Supplies,Fire,General Operating Fund
325,3,2016,62145,Printing,Materials and Supplies,Fire,General Operating Fund
328,3,2016,548,Motor Vehicle Parts and Accessories,Materials and Supplies,Fire,General Operating Fund
399,3,2016,6285,Other Materials and Supplies (noc),Materials and Supplies,Fire,General Operating Fund
412,4,2016,588739,Fire Fighting and Emergency,Equipment,Fire,General Operating Fund
417,4,2016,200000,Hospital and Laboratory,Equipment,Fire,General Operating Fund
427,4,2016,5273,Computer Equipment & Peripherals,Equipment,Fire,General Operating Fund
430,4,2016,59778,Furniture and Furnishings,Equipment,Fire,General Operating Fund
499,4,2016,38902,Other Equipment (noc),Equipment,Fire,General Operating Fund
803,8,2016,8847226,Payments to Water Fund,Payments to Other Funds,Fire,General Operating Fund
100,1,2016,335200,Salary Control,Personal Services,Health,General Operating Fund
101,1,2016,39990694,Perm Full Time-civilian,Personal Services,Health,General Operating Fund
111,1,2016,8103852,Perm Part Time,Personal Services,Health,General Operating Fund
121,1,2016,152000,Temporary Seasonal,Personal Services,Health,General Operating Fund
161,1,2016,1668900,Overtime Civilian,Personal Services,Health,General Operating Fund
171,1,2016,19300,"Holiday ""g""(2/3 Shifts)",Personal Services,Health,General Operating Fund
181,1,2016,28308,Shift,Personal Services,Health,General Operating Fund
201,2,2016,600,Cleaning and Laundering,Purchase of Services,Health,General Operating Fund
202,2,2016,20500,Janitorial Services,Purchase of Services,Health,General Operating Fund
205,2,2016,181967,Refuse/garbage/silt/sludge Removal,Purchase of Services,Health,General Operating Fund
209,2,2016,99648,Telephone,Purchase of Services,Health,General Operating Fund
210,2,2016,5671,Postage,Purchase of Services,Health,General Operating Fund
211,2,2016,42950,Transportation,Purchase of Services,Health,General Operating Fund
215,2,2016,26220,Licenses Permits Inspection Charges,Purchase of Services,Health,General Operating Fund
216,2,2016,64958,Commercial Off-shelf Comp Software,Purchase of Services,Health,General Operating Fund
230,2,2016,14775,Meals-non-travel & Officl Entertain,Purchase of Services,Health,General Operating Fund
240,2,2016,1500,Advertising/promotional Activities,Purchase of Services,Health,General Operating Fund
250,2,2016,57927997,Professional Consult/spec Services,Purchase of Services,Health,General Operating Fund
251,2,2016,551460,Information Technology-prof Service,Purchase of Services,Health,General Operating Fund
252,2,2016,10000,Accounting and Auditing Services,Purchase of Services,Health,General Operating Fund
255,2,2016,5640,Dues,Purchase of Services,Health,General Operating Fund
256,2,2016,23581,Seminar and Training Sessions,Purchase of Services,Health,General Operating Fund
260,2,2016,953875,Repair and Maintenance Charges,Purchase of Services,Health,General Operating Fund
266,2,2016,25089,Maint/support-computr Hardware/soft,Purchase of Services,Health,General Operating Fund
280,2,2016,50,Insurance and Official Bonds,Purchase of Services,Health,General Operating Fund
284,2,2016,3876,Ground and Building Rental,Purchase of Services,Health,General Operating Fund
285,2,2016,42521,Rents,Purchase of Services,Health,General Operating Fund
299,2,2016,546,Other Expenses (not Othrwse Clssfd),Purchase of Services,Health,General Operating Fund
304,3,2016,17051,Books and Other Publications,Materials and Supplies,Health,General Operating Fund
305,3,2016,33600,Building and Construction,Materials and Supplies,Health,General Operating Fund
307,3,2016,276064,Chemicals and Gases,Materials and Supplies,Health,General Operating Fund
308,3,2016,22500,Dry Goods/notions/wearing Apparel,Materials and Supplies,Health,General Operating Fund
310,3,2016,61451,Electrical and Communication,Materials and Supplies,Health,General Operating Fund
312,3,2016,7662,Fire Fighting and Safety,Materials and Supplies,Health,General Operating Fund
313,3,2016,1150,Food,Materials and Supplies,Health,General Operating Fund
314,3,2016,11900,Fuel -- Heating and Lighting,Materials and Supplies,Health,General Operating Fund
316,3,2016,50192,General Hardware and Minor Tools,Materials and Supplies,Health,General Operating Fund
