minor_class_id,class_id,fiscal_year,total,minor_class,class,department,fund
251,2,2015,48900,Information Technology-prof Service,Purchase of Services,Managing Director,General Operating Fund
253,2,2015,50669467,Legal Services,Purchase of Services,Managing Director,General Operating Fund
255,2,2015,14293,Dues,Purchase of Services,Managing Director,General Operating Fund
256,2,2015,13786,Seminar and Training Sessions,Purchase of Services,Managing Director,General Operating Fund
260,2,2015,56553,Repair and Maintenance Charges,Purchase of Services,Managing Director,General Operating Fund
266,2,2015,49957,Maint/support-computr Hardware/soft,Purchase of Services,Managing Director,General Operating Fund
282,2,2015,10234,Rent/lease-purchase Computer Equip,Purchase of Services,Managing Director,General Operating Fund
284,2,2015,903,Ground and Building Rental,Purchase of Services,Managing Director,General Operating Fund
285,2,2015,27975,Rents,Purchase of Services,Managing Director,General Operating Fund
299,2,2015,527582,Other Expenses (not Othrwse Clssfd),Purchase of Services,Managing Director,General Operating Fund
304,3,2015,1000,Books and Other Publications,Materials and Supplies,Managing Director,General Operating Fund
305,3,2015,148130,Building and Construction,Materials and Supplies,Managing Director,General Operating Fund
308,3,2015,11148,Dry Goods/notions/wearing Apparel,Materials and Supplies,Managing Director,General Operating Fund
311,3,2015,14907,General Equipment and Machinery,Materials and Supplies,Managing Director,General Operating Fund
313,3,2015,1334,Food,Materials and Supplies,Managing Director,General Operating Fund
318,3,2015,118175,"Janitorial, Laundry and Household",Materials and Supplies,Managing Director,General Operating Fund
430,4,2015,47021,Furniture and Furnishings,Equipment,Streets,General Operating Fund
320,3,2015,36294,Office Materials and Supplies,Materials and Supplies,Managing Director,General Operating Fund
324,3,2015,3710,"Precision, Photographic and Artists",Materials and Supplies,Managing Director,General Operating Fund
325,3,2015,7052,Printing,Materials and Supplies,Managing Director,General Operating Fund
328,3,2015,8918,Motor Vehicle Parts and Accessories,Materials and Supplies,Managing Director,General Operating Fund
399,3,2015,39907,Other Materials and Supplies (noc),Materials and Supplies,Managing Director,General Operating Fund
420,4,2015,28419,Office Equipment,Equipment,Managing Director,General Operating Fund
181,1,2015,38622,Shift,Personal Services,Health,General Operating Fund
424,4,2015,1725,"Precision, Photographic and Artist",Equipment,Managing Director,General Operating Fund
427,4,2015,15220,Computer Equipment & Peripherals,Equipment,Managing Director,General Operating Fund
430,4,2015,25800,Furniture and Furnishings,Equipment,Managing Director,General Operating Fund
499,4,2015,65080,Other Equipment (noc),Equipment,Managing Director,General Operating Fund
101,1,2015,33243226,Perm Full Time-civilian,Personal Services,Police,General Operating Fund
105,1,2015,406559855,Perm Full Time-uniform,Personal Services,Police,General Operating Fund
110,1,2015,31350616,Uniform Stress Pay,Personal Services,Police,General Operating Fund
141,1,2015,11845232,School Crossing Guards,Personal Services,Police,General Operating Fund
152,1,2015,17748000,Uniform Iod Pay (heart & Lung),Personal Services,Police,General Operating Fund
161,1,2015,3120023,Overtime Civilian,Personal Services,Police,General Operating Fund
165,1,2015,42099738,Overtime Shift Uniform,Personal Services,Police,General Operating Fund
171,1,2015,841500,"Holiday ""g""(2/3 Shifts)",Personal Services,Police,General Operating Fund
175,1,2015,18504582,Holiday Pay-annual,Personal Services,Police,General Operating Fund
181,1,2015,247703,Shift,Personal Services,Police,General Operating Fund
201,2,2015,3085500,Cleaning and Laundering,Purchase of Services,Police,General Operating Fund
202,2,2015,7800,Janitorial Services,Purchase of Services,Police,General Operating Fund
205,2,2015,43421,Refuse/garbage/silt/sludge Removal,Purchase of Services,Police,General Operating Fund
209,2,2015,8970,Telephone,Purchase of Services,Police,General Operating Fund
210,2,2015,77820,Postage,Purchase of Services,Police,General Operating Fund
211,2,2015,130000,Transportation,Purchase of Services,Police,General Operating Fund
212,2,2015,61000,Return of Fugitives,Purchase of Services,Police,General Operating Fund
231,2,2015,358350,Overtime Meals,Purchase of Services,Police,General Operating Fund
240,2,2015,5080,Advertising/promotional Activities,Purchase of Services,Police,General Operating Fund
250,2,2015,2133737,Professional Consult/spec Services,Purchase of Services,Police,General Operating Fund
255,2,2015,7845,Dues,Purchase of Services,Police,General Operating Fund
256,2,2015,359200,Seminar and Training Sessions,Purchase of Services,Police,General Operating Fund
260,2,2015,809432,Repair and Maintenance Charges,Purchase of Services,Police,General Operating Fund
285,2,2015,174652,Rents,Purchase of Services,Police,General Operating Fund
302,3,2015,93641,"Animal, Livestock and Marine Life",Materials and Supplies,Police,General Operating Fund
304,3,2015,44327,Books and Other Publications,Materials and Supplies,Police,General Operating Fund
305,3,2015,40190,Building and Construction,Materials and Supplies,Police,General Operating Fund
307,3,2015,18757,Chemicals and Gases,Materials and Supplies,Police,General Operating Fund
308,3,2015,4258776,Dry Goods/notions/wearing Apparel,Materials and Supplies,Police,General Operating Fund
309,3,2015,6544,Cordage and Fibers,Materials and Supplies,Police,General Operating Fund
310,3,2015,81993,Electrical and Communication,Materials and Supplies,Police,General Operating Fund
311,3,2015,43808,General Equipment and Machinery,Materials and Supplies,Police,General Operating Fund
312,3,2015,633400,Fire Fighting and Safety,Materials and Supplies,Police,General Operating Fund
313,3,2015,181430,Food,Materials and Supplies,Police,General Operating Fund
316,3,2015,7254,General Hardware and Minor Tools,Materials and Supplies,Police,General Operating Fund
317,3,2015,747760,Hospital and Laboratory,Materials and Supplies,Police,General Operating Fund
318,3,2015,270997,"Janitorial, Laundry and Household",Materials and Supplies,Police,General Operating Fund
319,3,2015,259063,Nautical and Aeronautical,Materials and Supplies,Police,General Operating Fund
320,3,2015,548271,Office Materials and Supplies,Materials and Supplies,Police,General Operating Fund
322,3,2015,491,Small Power Tools and Hand Tools,Materials and Supplies,Police,General Operating Fund
323,3,2015,2060,Plumbing/air Conditioning/space Htg,Materials and Supplies,Police,General Operating Fund
324,3,2015,956728,"Precision, Photographic and Artists",Materials and Supplies,Police,General Operating Fund
325,3,2015,189547,Printing,Materials and Supplies,Police,General Operating Fund
328,3,2015,21256,Motor Vehicle Parts and Accessories,Materials and Supplies,Police,General Operating Fund
335,3,2015,300,Lubricants,Materials and Supplies,Police,General Operating Fund
342,3,2015,5000,Liquid Propane Gas (lpg),Materials and Supplies,Police,General Operating Fund
345,3,2015,135015,Gasoline,Materials and Supplies,Police,General Operating Fund
410,4,2015,3980,Electrical Lighting Communication,Equipment,Police,General Operating Fund
411,4,2015,420,General Equipment and Machinery,Equipment,Police,General Operating Fund
412,4,2015,380369,Fire Fighting and Emergency,Equipment,Police,General Operating Fund
417,4,2015,2941,Hospital and Laboratory,Equipment,Police,General Operating Fund
424,4,2015,1262,"Precision, Photographic and Artist",Equipment,Police,General Operating Fund
427,4,2015,20000,Computer Equipment & Peripherals,Equipment,Police,General Operating Fund
430,4,2015,69512,Furniture and Furnishings,Equipment,Police,General Operating Fund
499,4,2015,6630,Other Equipment (noc),Equipment,Police,General Operating Fund
100,1,2015,507350,Salary Control,Personal Services,Streets,General Operating Fund
101,1,2015,58434303,Perm Full Time-civilian,Personal Services,Streets,General Operating Fund
121,1,2015,288282,Temporary Seasonal,Personal Services,Streets,General Operating Fund
161,1,2015,7810759,Overtime Civilian,Personal Services,Streets,General Operating Fund
171,1,2015,168243,"Holiday ""g""(2/3 Shifts)",Personal Services,Streets,General Operating Fund
181,1,2015,257899,Shift,Personal Services,Streets,General Operating Fund
201,2,2015,5360,Cleaning and Laundering,Purchase of Services,Streets,General Operating Fund
205,2,2015,36453821,Refuse/garbage/silt/sludge Removal,Purchase of Services,Streets,General Operating Fund
210,2,2015,1000,Postage,Purchase of Services,Streets,General Operating Fund
211,2,2015,40845,Transportation,Purchase of Services,Streets,General Operating Fund
215,2,2015,140,Licenses Permits Inspection Charges,Purchase of Services,Streets,General Operating Fund
240,2,2015,477891,Advertising/promotional Activities,Purchase of Services,Streets,General Operating Fund
250,2,2015,4215612,Professional Consult/spec Services,Purchase of Services,Streets,General Operating Fund
255,2,2015,5000,Dues,Purchase of Services,Streets,General Operating Fund
256,2,2015,44335,Seminar and Training Sessions,Purchase of Services,Streets,General Operating Fund
257,2,2015,20000,Architectural & Engineering Srvcs,Purchase of Services,Streets,General Operating Fund
260,2,2015,867478,Repair and Maintenance Charges,Purchase of Services,Streets,General Operating Fund
266,2,2015,336,Maint/support-computr Hardware/soft,Purchase of Services,Streets,General Operating Fund
285,2,2015,4137911,Rents,Purchase of Services,Streets,General Operating Fund
299,2,2015,13726,Other Expenses (not Othrwse Clssfd),Purchase of Services,Streets,General Operating Fund
304,3,2015,19109,Books and Other Publications,Materials and Supplies,Streets,General Operating Fund
305,3,2015,1051895,Building and Construction,Materials and Supplies,Streets,General Operating Fund
307,3,2015,18334,Chemicals and Gases,Materials and Supplies,Streets,General Operating Fund
308,3,2015,192666,Dry Goods/notions/wearing Apparel,Materials and Supplies,Streets,General Operating Fund
309,3,2015,728,Cordage and Fibers,Materials and Supplies,Streets,General Operating Fund
310,3,2015,773316,Electrical and Communication,Materials and Supplies,Streets,General Operating Fund
311,3,2015,46686,General Equipment and Machinery,Materials and Supplies,Streets,General Operating Fund
312,3,2015,27154,Fire Fighting and Safety,Materials and Supplies,Streets,General Operating Fund
313,3,2015,200,Food,Materials and Supplies,Streets,General Operating Fund
314,3,2015,313625,Fuel -- Heating and Lighting,Materials and Supplies,Streets,General Operating Fund
316,3,2015,325448,General Hardware and Minor Tools,Materials and Supplies,Streets,General Operating Fund
317,3,2015,10520,Hospital and Laboratory,Materials and Supplies,Streets,General Operating Fund
318,3,2015,180682,"Janitorial, Laundry and Household",Materials and Supplies,Streets,General Operating Fund
320,3,2015,102618,Office Materials and Supplies,Materials and Supplies,Streets,General Operating Fund
322,3,2015,70426,Small Power Tools and Hand Tools,Materials and Supplies,Streets,General Operating Fund
323,3,2015,59315,Plumbing/air Conditioning/space Htg,Materials and Supplies,Streets,General Operating Fund
324,3,2015,85102,"Precision, Photographic and Artists",Materials and Supplies,Streets,General Operating Fund
325,3,2015,55379,Printing,Materials and Supplies,Streets,General Operating Fund
328,3,2015,16500,Motor Vehicle Parts and Accessories,Materials and Supplies,Streets,General Operating Fund
335,3,2015,269,Lubricants,Materials and Supplies,Streets,General Operating Fund
342,3,2015,13915,Liquid Propane Gas (lpg),Materials and Supplies,Streets,General Operating Fund
399,3,2015,15852,Other Materials and Supplies (noc),Materials and Supplies,Streets,General Operating Fund
405,4,2015,2455,"Construction, Dredging, Conveying",Equipment,Streets,General Operating Fund
410,4,2015,23293,Electrical Lighting Communication,Equipment,Streets,General Operating Fund
411,4,2015,35989,General Equipment and Machinery,Equipment,Streets,General Operating Fund
420,4,2015,27638,Office Equipment,Equipment,Streets,General Operating Fund
423,4,2015,22294,Plumbing/air Conditioning/space Htg,Equipment,Streets,General Operating Fund
424,4,2015,68956,"Precision, Photographic and Artist",Equipment,Streets,General Operating Fund
427,4,2015,372,Computer Equipment & Peripherals,Equipment,Streets,General Operating Fund
428,4,2015,200000,Vehicles -- Motor and Motorless,Equipment,Streets,General Operating Fund
504,5,2015,5000,Meritorious Awards,"Contributions, Indemnities, Refunds, Taxes",Streets,General Operating Fund
505,5,2015,48171,Contributions-ed & Non-prof Rec Org,"Contributions, Indemnities, Refunds, Taxes",Streets,General Operating Fund
100,1,2015,1098000,Salary Control,Personal Services,Fire,General Operating Fund
101,1,2015,5299718,Perm Full Time-civilian,Personal Services,Fire,General Operating Fund
105,1,2015,132914098,Perm Full Time-uniform,Personal Services,Fire,General Operating Fund
107,1,2015,8845500,Fire out of Class Prem(2hr Dif),Personal Services,Fire,General Operating Fund
131,1,2015,1000,Board,Personal Services,Fire,General Operating Fund
161,1,2015,727782,Overtime Civilian,Personal Services,Fire,General Operating Fund
165,1,2015,25128563,Overtime Shift Uniform,Personal Services,Fire,General Operating Fund
171,1,2015,64000,"Holiday ""g""(2/3 Shifts)",Personal Services,Fire,General Operating Fund
175,1,2015,8780000,Holiday Pay-annual,Personal Services,Fire,General Operating Fund
181,1,2015,25000,Shift,Personal Services,Fire,General Operating Fund
202,2,2015,2400,Janitorial Services,Purchase of Services,Fire,General Operating Fund
210,2,2015,400,Postage,Purchase of Services,Fire,General Operating Fund
211,2,2015,27500,Transportation,Purchase of Services,Fire,General Operating Fund
250,2,2015,4096493,Professional Consult/spec Services,Purchase of Services,Fire,General Operating Fund
255,2,2015,11245,Dues,Purchase of Services,Fire,General Operating Fund
256,2,2015,171000,Seminar and Training Sessions,Purchase of Services,Fire,General Operating Fund
259,2,2015,18000,Arbitration Fees,Purchase of Services,Fire,General Operating Fund
260,2,2015,759355,Repair and Maintenance Charges,Purchase of Services,Fire,General Operating Fund
285,2,2015,14200,Rents,Purchase of Services,Fire,General Operating Fund
301,3,2015,9000,Agricultural and Botanical,Materials and Supplies,Fire,General Operating Fund
304,3,2015,42500,Books and Other Publications,Materials and Supplies,Fire,General Operating Fund
305,3,2015,14500,Building and Construction,Materials and Supplies,Fire,General Operating Fund
307,3,2015,82500,Chemicals and Gases,Materials and Supplies,Fire,General Operating Fund
308,3,2015,3071300,Dry Goods/notions/wearing Apparel,Materials and Supplies,Fire,General Operating Fund
309,3,2015,5000,Cordage and Fibers,Materials and Supplies,Fire,General Operating Fund
310,3,2015,94000,Electrical and Communication,Materials and Supplies,Fire,General Operating Fund
311,3,2015,500,General Equipment and Machinery,Materials and Supplies,Fire,General Operating Fund
312,3,2015,800224,Fire Fighting and Safety,Materials and Supplies,Fire,General Operating Fund
313,3,2015,1000,Food,Materials and Supplies,Fire,General Operating Fund
314,3,2015,74500,Fuel -- Heating and Lighting,Materials and Supplies,Fire,General Operating Fund
316,3,2015,32000,General Hardware and Minor Tools,Materials and Supplies,Fire,General Operating Fund
317,3,2015,1334489,Hospital and Laboratory,Materials and Supplies,Fire,General Operating Fund
318,3,2015,131000,"Janitorial, Laundry and Household",Materials and Supplies,Fire,General Operating Fund
320,3,2015,128701,Office Materials and Supplies,Materials and Supplies,Fire,General Operating Fund
322,3,2015,19800,Small Power Tools and Hand Tools,Materials and Supplies,Fire,General Operating Fund
324,3,2015,77000,"Precision, Photographic and Artists",Materials and Supplies,Fire,General Operating Fund
325,3,2015,36000,Printing,Materials and Supplies,Fire,General Operating Fund
345,3,2015,400,Gasoline,Materials and Supplies,Fire,General Operating Fund
410,4,2015,32000,Electrical Lighting Communication,Equipment,Fire,General Operating Fund
412,4,2015,4210000,Fire Fighting and Emergency,Equipment,Fire,General Operating Fund
417,4,2015,178000,Hospital and Laboratory,Equipment,Fire,General Operating Fund
420,4,2015,36000,Office Equipment,Equipment,Fire,General Operating Fund
423,4,2015,7000,Plumbing/air Conditioning/space Htg,Equipment,Fire,General Operating Fund
424,4,2015,34000,"Precision, Photographic and Artist",Equipment,Fire,General Operating Fund
430,4,2015,101000,Furniture and Furnishings,Equipment,Fire,General Operating Fund
499,4,2015,61000,Other Equipment (noc),Equipment,Fire,General Operating Fund
803,8,2015,8162000,Payments to Water Fund,Payments to Other Funds,Fire,General Operating Fund
100,1,2015,316968,Salary Control,Personal Services,Health,General Operating Fund
101,1,2015,39035580,Perm Full Time-civilian,Personal Services,Health,General Operating Fund
111,1,2015,6880052,Perm Part Time,Personal Services,Health,General Operating Fund
121,1,2015,117000,Temporary Seasonal,Personal Services,Health,General Operating Fund
161,1,2015,2069472,Overtime Civilian,Personal Services,Health,General Operating Fund
171,1,2015,35395,"Holiday ""g""(2/3 Shifts)",Personal Services,Health,General Operating Fund
201,2,2015,1350,Cleaning and Laundering,Purchase of Services,Health,General Operating Fund
202,2,2015,20500,Janitorial Services,Purchase of Services,Health,General Operating Fund
205,2,2015,182851,Refuse/garbage/silt/sludge Removal,Purchase of Services,Health,General Operating Fund
209,2,2015,99648,Telephone,Purchase of Services,Health,General Operating Fund
210,2,2015,9146,Postage,Purchase of Services,Health,General Operating Fund
211,2,2015,51950,Transportation,Purchase of Services,Health,General Operating Fund
215,2,2015,26345,Licenses Permits Inspection Charges,Purchase of Services,Health,General Operating Fund
210,2,2015,3621530,Postage,Purchase of Services,Revenue,Water Operating Fund
216,2,2015,65308,Commercial Off-shelf Comp Software,Purchase of Services,Health,General Operating Fund
230,2,2015,14775,Meals-non-travel & Officl Entertain,Purchase of Services,Health,General Operating Fund
240,2,2015,1500,Advertising/promotional Activities,Purchase of Services,Health,General Operating Fund
250,2,2015,58770758,Professional Consult/spec Services,Purchase of Services,Health,General Operating Fund
251,2,2015,817785,Information Technology-prof Service,Purchase of Services,Health,General Operating Fund
252,2,2015,10000,Accounting and Auditing Services,Purchase of Services,Health,General Operating Fund
255,2,2015,5140,Dues,Purchase of Services,Health,General Operating Fund
256,2,2015,22553,Seminar and Training Sessions,Purchase of Services,Health,General Operating Fund
257,2,2015,1528,Architectural & Engineering Srvcs,Purchase of Services,Health,General Operating Fund
260,2,2015,804154,Repair and Maintenance Charges,Purchase of Services,Health,General Operating Fund
266,2,2015,18589,Maint/support-computr Hardware/soft,Purchase of Services,Health,General Operating Fund
280,2,2015,50,Insurance and Official Bonds,Purchase of Services,Health,General Operating Fund
284,2,2015,3876,Ground and Building Rental,Purchase of Services,Health,General Operating Fund
285,2,2015,33638,Rents,Purchase of Services,Health,General Operating Fund
286,2,2015,1520,Rental of Parking Spaces,Purchase of Services,Health,General Operating Fund
299,2,2015,546,Other Expenses (not Othrwse Clssfd),Purchase of Services,Health,General Operating Fund
304,3,2015,19594,Books and Other Publications,Materials and Supplies,Health,General Operating Fund
